Oncorhynchus nerka 	 Horsefly River, B.C. 	 Fish 	 Fish 	 Fish 
Cancer borealis 	 NAFO 4X 	 Kg per tow 	 . 	 . 
Hippoglossoides elassodon 	 West Kamchatka Shelf 	 Million eggs 	 Millions 	 . 
Oncorhynchus gorbuscha  	 Dean Channel, B.C.  	 Fish 	 Fish 	 Fish 
Oncorhynchus nerka 	 Ugashik River, Alaska 	 Numbers of fish 	 Numbers of smolts 	 .  
Oncorhynchus gorbuscha 	 Bakhura River, Sakhalin Is.  	 Thousands 	 Thousands 	 . 
Stizostedion vitreum 	 Cass Lake, Minnesota 	 . 	 index 	 .  
Gadus morhua 	 Greenland offshore component 	 Tonnes 	 Thousands 	 Tonnes 
Clupea harengus 	 Newfoundland(GH) 	 .  	 .  	 .  
Taius tumifrons 	 East China Sea 	 Index of Eggs 	 Index 	 .  
Oncorhynchus kisutch 	 Hooknose Creek, British Columbia 	 Females 	 Smolts 	 .  
Oncorhynchus gorbuscha  	 Lower Skeena, B.C.  	 Fish 	 Fish 	 Fish 
Oncorhynchus gorbuscha 	 Bristol Bay, Alaska 	 . 	 . 	 Numbers of fish  
Alosa pseudoharengus 	 Lamprey River 	 Thousands of lbs. 	 Thousands 	 .  
Gobio gobio 	 River Frome, Dorset, England 	 . 	 Relative year-class strength 	 .  
Oncorhynchus mykiss 	 Keogh River, B.C. 	 Number of Eggs 	 Number of Smolts 	 .  
Reinhardtius hippoglossoides 	 ICES V and XIV 	 Tonnes 	 Thousands 	 Tonnes 
Oncorhynchus gorbuscha 	 Lutoga River, Sakhalin Is.  	 Thousands 	 Thousands 	 . 
Oncorhynchus kisutch 	 Discovery Bay, Washington 	 Adults 	 . 	 .  
Alosa aestivalis  	 Connecticut River, USA 	 Thousand pounds 	 Thousands 	 .  
Sardinops sagax 	 California 	 Thousand Tonnes 	 Millions 	 Short tons 
Oncorhynchus nerka 	 Tally Creek, B.C. 	 Number of Spawners 	 Number of fry 	 . 
Sebastes paucispinis 	 W. U.S. 	 . 	 Millions 	 Tonnes 
Cololabis saira 	 California 	 Thousand tonnes 	 . 	 . 
Sebastes alutus 	 Aleutian Is. 	 Tonnes of Females 	 Thousands 	 Tonnes 
Gadus morhua 	 Irish Sea 	 Tonnes 	 Thousands  	 Tonnes 
Oncorhynchus nerka 	 Black Lake, Alaska 	 Millions of fish 	 Millions of fish 	 .  
Stizostedion vitreum 	 Lake Vermilion West, Minnesota 	 . 	 index 	 .  
Trichiurus haumela 	 East China Sea 	 . 	 Hundred million 	 .  
Merluccius productus 	 Gulf of California 	 scales per 1000 cm^2 	 . 	 . 
Sebastes mentela and fasciatus  	 NAFO 3M 	 Thousand tonnes 	 Millions 	 Thousand tonnes 
Trachurus trecae 	 N.W. Africa (CECAF 34.1.3-34.3.1) 	 . 	 Millions 	 Thousands tonnes 
Oncorhynchus nerka 	 Bristol Bay, Alaska 	 Millions of fish 	 Millions of fish 	 .  
Merluccius gayi 	 Peru 	 Thousand tonnes 	 Millions 	 .  
Salmo salar 	 Bec-Scie, Canada 	 Number of Eggs 	 Number of Smolt 	 .  
Taius tumifrons 	 Central East China Sea 	 Numbers 	 Numbers 	 .  
Oncorhynchus nerka 	 Ugashik River, Alaska 	 Thousands of fish 	 Thousands of fish 	 .  
