assessid,commonname1,scientificname,family,tsyear,total,total_unit,ssb,ssb_unit
AFSC-SABLEFEBSAIGA-1956-2008-MELNYCHUK,Sablefish,Anoplopoma fimbria,Anoplopomatidae,1996,240000,MT,96000,MT
NWFSC-SABLEFPCOAST-1900-2007-BRANCH,Sablefish,Anoplopoma fimbria,Anoplopomatidae,1996,184112,MT,96348.9,MT
AFSC-SABLEFEBSAIGA-1956-2008-MELNYCHUK,Sablefish,Anoplopoma fimbria,Anoplopomatidae,1997,226000,MT,94000,MT
NWFSC-SABLEFPCOAST-1900-2007-BRANCH,Sablefish,Anoplopoma fimbria,Anoplopomatidae,1997,178471,MT,91846,MT
AFSC-SABLEFEBSAIGA-1956-2008-MELNYCHUK,Sablefish,Anoplopoma fimbria,Anoplopomatidae,1998,215000,MT,92000,MT
NWFSC-SABLEFPCOAST-1900-2007-BRANCH,Sablefish,Anoplopoma fimbria,Anoplopomatidae,1998,169836,MT,88183.7,MT
AFSC-SABLEFEBSAIGA-1956-2008-MELNYCHUK,Sablefish,Anoplopoma fimbria,Anoplopomatidae,1999,221000,MT,89000,MT
NWFSC-SABLEFPCOAST-1900-2007-BRANCH,Sablefish,Anoplopoma fimbria,Anoplopomatidae,1999,163198,MT,86069.7,MT
AFSC-SABLEFEBSAIGA-1956-2008-MELNYCHUK,Sablefish,Anoplopoma fimbria,Anoplopomatidae,2000,207000,MT,87000,MT
NWFSC-SABLEFPCOAST-1900-2007-BRANCH,Sablefish,Anoplopoma fimbria,Anoplopomatidae,2000,156707,MT,82138.1,MT
AFSC-SABLEFEBSAIGA-1956-2008-MELNYCHUK,Sablefish,Anoplopoma fimbria,Anoplopomatidae,2001,226000,MT,85000,MT
NWFSC-SABLEFPCOAST-1900-2007-BRANCH,Sablefish,Anoplopoma fimbria,Anoplopomatidae,2001,160731,MT,78033.7,MT
AFSC-SABLEFEBSAIGA-1956-2008-MELNYCHUK,Sablefish,Anoplopoma fimbria,Anoplopomatidae,2002,237000,MT,86000,MT
NWFSC-SABLEFPCOAST-1900-2007-BRANCH,Sablefish,Anoplopoma fimbria,Anoplopomatidae,2002,170389,MT,76036.2,MT
AFSC-SABLEFEBSAIGA-1956-2008-MELNYCHUK,Sablefish,Anoplopoma fimbria,Anoplopomatidae,2003,235000,MT,89000,MT
